#FreeAmade	O
ìlú	O
ti	O
túbọ̀	O
mú	O
inú	O
bí	O
ẹgbẹ́	O
alátakò	O
àti	O
àwọn	O
àjàfẹ́tọ̀ọ́	O
ọmọnìyàn	O
,	O
ó	O
ní	O
bí	O
ìtakùn	O
globalguinee.info	O
ṣe	O
sọ	O
:	O
	
Ìtúmọ̀	O
Ìtúnwí-ọ̀rọ̀	O
Ọlọ́rọ̀	O
gan-an	O
	
Ọjọ́	B-DATE
14	I-DATE
oṣù	I-DATE
Ọ̀wàrà	I-DATE
ọdún-un	I-DATE
2019	I-DATE
jẹ́	O
ọjọ́	B-DATE
Ajé	I-DATE
burúkú	O
Èṣù	O
gbomi	O
mu	O
,	O
ní	O
ti	O
ìfèsì	O
sí	O
ìpè	O
àjọ	O
FNDC	B-ORG
[	O
Àwọn	O
tí	O
ó	O
ń	O
lé	O
wájú	O
ń'nú	O
Ìdáàbò	O
bo	O
Ìwé-òfin	O
Orílẹ̀-èdè]	O
,	O
àwọn	O
ọmọ	O
Guinea	B-LOC
tú	O
yáyá	O
tú	O
yàyà	O
sí	O
ojúu	O
títì	O
láti	O
tako	O
ìgbésẹ̀	O
àtúnṣe	O
sí	O
ìwé-òfin	O
.	O
	
Ìkọlù	O
wáyé	O
ní	O
àwọn	O
agbègbè	O
tí	O
ó	O
wà	O
ní	O
àárín	O
olú	O
ìlú	O
orílẹ̀-èdè	O
náà	O
.	O
	
Káràkátà	O
dẹnu	O
kọlẹ̀	O
ní	O
àárín	O
gbùngbùn	O
ibi	O
ìṣàkóso	O
ìlú	O
ní	O
Kalou	O
.	O
	
Àwọn	O
tí	O
ó	O
wà	O
ní	O
Àárín	O
àti	O
Odò	O
orílẹ̀	O
èdè	O
Guinea	B-LOC
náà	O
gbọ́	O
ìpè	O
,	O
wọ́n	O
sì	O
darapọ̀	O
mọ́	O
àwọn	O
ọmọ	O
ìlú	O
tó	O
kù	O
.	O
	
Ènìyàn	O
díẹ̀	O
ni	O
ó	O
jáde	O
ní	O
ìgbèríko	O
àti	O
Òkèe	O
Guinea	B-LOC
.	O
	
Àmọ́	O
ṣá	O
,	O
ọ̀pọ̀lọpọ̀	O
ìlú	O
ti	O
kọ̀yìn	O
síjọba	O
lórí	O
ìgbésẹ̀	O
yìí	O
.	O
	
Ní	O
oríi	O
benbere.org	O
,	O
gbàgede	O
ìtàkùrọ̀sọ	O
fún	O
àwọn	O
ọ̀dọ́	O
ní	O
Mali	B-LOC
,	O
akọ̀ròyin	O
búlọ́ọ̀gù	O
Adam	B-PER
Thiam	O
kọ	O
:	O
	
Ìtúmọ̀	O
Ìtúnwí-ọ̀rọ̀	O
Ọlọ́rọ̀	O
gan-an	O
	
Nǹkan	O
kàyèéfì	O
ń	O
lọ	O
lọ́wọ́	O
lọ́wọ́	O
báyìí	O
ní	O
Guinea	B-LOC
,	O
pẹ̀lú	O
ìrógbàmù	O
tí	O
ó	O
ń	O
wáyé	O
,	O
ọta	O
ìbon	O
ti	O
fọ́	O
sí	O
ara	O
àwọn	O
afẹ̀hónúhàn	O
tí	O
ó	O
sì	O
ti	O
ṣekú	O
pa	O
ọ̀pọ̀lọpọ̀ọ	O
wọn	O
,	O
ẹ̀jẹ̀	O
ní	O
ojúu	O
pópó	O
,	O
ìdígàgá	O
ní	O
gbogbo	O
,	O
iná	O
ẹsẹ̀	O
ọkọ̀ọ	O
sísun	O
àti	O
tajútajú	O
nínú	O
afẹ́fẹ́	O
.	O
	
Àwọn	O
ọmọ	O
ìlú	O
orí	O
ayélujára	O
fajúro	O
sí	O
ìṣẹ̀lẹ̀	O
náà	O
lórí	O
ẹ̀rọ	O
alátagbà	O
:	O
	
Bíi	O
ti	O
Blaise	B-PER
Compaoré	I-PER
[	O
olóṣèlúu	O
Burkinabé	O
]	O
Alpha	B-PER
Condé	I-PER
ń	O
forí	O
lé	O
ibi	O
ìparun	O
,	O
ǹjẹ́	O
yó	O
leè	O
gbóhùn	O
inúbíbí	O
àwọn	O
aráa	O
rẹ̀	O
bí	O
?	B-PER
	
Ó	O
di	O
ọjọ́	B-DATE
iwájú	I-DATE
kí	O
á	O
tó	O
mọ̀	O
.	O
	
Ní	O
báyìí	O
ṣá	O
,	O
ọkọ̀	O
ojú	O
omi	O
ti	O
ń	O
ré	O
.	O
	
Lọ́jọ́	B-DATE
15	I-DATE
oṣù	I-DATE
Ọ̀wàrà	I-DATE
,	O
akọ̀ròyin	O
Guinea	B-LOC
Bhiye	O
Bary	O
kọ	O
:	O
	
Ilé	O
ìtòògùn	O
Hamdallaye	B-LOC
(#Conakry)	O
:	O
àwọn	O
ọlọ́pàá	O
ló	O
jí	O
àwọn	O
ọmọ	O
ìlú	O
kan	O
lójú	O
oorun	O
ní	O
òwúrọ̀	O
yìí	O
.	O
	
Gẹ́gẹ́	O
bí	O
ẹnìkan	O
ti	O
ṣe	O
sọ	O
,	O
àwọn	O
ọlọ́pàá	O
ń	O
jálẹ̀kùn	O
tí	O
wọ́n	O
sì	O
ń	O
kó	O
ẹrù	O
nílé	O
onílé	O
.	O
	
(	O
Àwòrán	O
ní	O
ìpamọ́)#Amoulanfe	O
#Kibaro	O
#Guinee	O
pic.twitter.com/xk6xax8DT0	O
	
S	B-ORG
.	O
	
Nkola	O
Matamba	B-LOC
,	O
òǹkọ̀wé	O
àti	O
ajàfẹ́tọ̀ọ́	O
ọmọnìyan	O
tí	O
ó	O
jẹ́	O
ọmọ	O
Ìlú	O
Olómìnira	O
Ìjọba	O
ara	O
wa	O
ti	O
Congo	B-LOC
,	O
fi	O
ìbánújẹ́	O
ọkàn	O
hàn	O
:	O
	
Ọmọ	O
ẹgbẹ́	O
alátakò	O
ìgbàkan	O
,	O
tí	O
ó	O
wá	O
fẹ́	O
yí	O
òfin	O
padà	O
nítorí	O
ìfẹ́	O
ara	O
rẹ̀	O
kí	O
ó	O
ba	O
ṣèjòba	O
fún	O
ìgbà	O
kẹta	O
,	O
bóyá	O
kí	O
ó	O
bá	O
jẹ	O
gàba	O
títí	O
tí	O
Ọlọ́jọ́	B-DATE
yóò	I-DATE
fi	O
dé	O
,	O
Alpha	B-PER
Condé	I-PER
gan-an	O
ni	O
àpẹẹrẹ	O
ibi	O
tí	O
ó	O
ń	O
fa	O
ìfàsẹ́yìn	O
fún	O
Ilẹ̀-Adúláwọ̀	O
!	O
	
Ẹ̀yin	O
aráa	O
Guinea	B-LOC
,	O
ẹ	O
mú	O
ọkàn	O
le	O
!	O
	
#GUINÉE	O
–	O
ó	O
jẹ́	O
ohun	O
ìyàlẹ́nu	O
.	O
	
Ìfẹ̀hònúhàn	O
ìtako	O
ìṣèjọba	O
Condé	O
fún	O
ìgbà	O
kẹta	O
ọjọ́	B-DATE
kan	I-DATE
ṣoṣo	O
tí	O
mú	O
ẹ̀mí	O
àwọn	O
ènìyàn	O
lọ	O
.	O
	
Sísíwín	O
àwọn	O
olóṣèlú	O
tí	O
ó	O
fẹ́	O
kú	O
sórí	O
ipò	O
ààrẹ	O
yìí	O
ti	O
ń	O
pọ̀	O
jù	O
Amoulanfe—	O
Cheikh	O
Fall™	O
(	O
@cypher007	O
)	O
ọjọ́	B-DATE
14	I-DATE
,	I-DATE
oṣù	I-DATE
Ọ̀wàrà	I-DATE
2019	I-DATE
	
Ajìjàǹgbara	O
Guinea	B-LOC
Macky	O
Darsalam	O
sọ	O
ti	O
ìgbésẹ̀	O
láti	O
tọwọ́	O
bọ	O
èròńgbà	O
àwọn	O
ará	O
ìlú	O
lójú	O
:	O
	
Ẹgbẹ́	O
alátakò	O
Guinea	B-LOC
náà	O
kò	O
ní	O
ààbò	O
tí	O
ó	O
lè	O
fi	O
bo	O
araa	O
rẹ̀	O
lásìkò	O
ìkọlù	O
:	O
àwọn	O
aṣojú	O
aláṣẹ	O
ẹgbẹ́	O
alátakò	O
gbogbo	O
kò	O
dá	O
sí	O
àríyànjiyàn	O
ìgbìmọ̀	O
ìjọba	O
mọ́	O
láti	O
ọjọ́	B-DATE
11	I-DATE
,	I-DATE
oṣù	I-DATE
Ọ̀wàrà	I-DATE
2019	I-DATE
.	O
	
Ìwà	O
ipá	O
sí	O
àwọn	O
ẹgbẹ́	O
olóṣèlú	O
wọ̀nyí	O
ti	O
gba	O
ọ̀nà	O
àrà	O
,	O
bẹ́ẹ̀	O
ni	O
ibùdó	O
ìtakùn	O
mediaguinee.org	O
ṣe	O
kọ	O
:	O
	
Ìtúmọ̀	O
Ìtúnwí-ọ̀rọ̀	O
Ọlọ́rọ̀	O
gan-an	O
	
…ní	O
olú	O
iléeṣẹ́	O
Union	B-ORG
of	I-ORG
Republican	I-ORG
Forces	I-ORG
(	O
URF	B-ORG
)	O
tí	O
agbègbè	O
Sidya	B-PER
Touré	I-PER
,	O
ìjá	O
wáyé	O
láàárín	O
àwọn	O
ọmọ	O
ẹgbẹ́	O
alátakò	O
kan	O
àti	O
àwọn	O
tí	O
ó	O
ń	O
fẹ́	O
ti	O
ìjọba	O
tí	O
ó	O
ti	O
ṣètò	O
tí	O
kò	O
ní	O
jẹ́	O
kí	O
ìyíde	O
ìfẹ̀hónúhàn	O
náà	O
ó	O
wáyé	O
lọ́jọ́	B-DATE
kan	I-DATE
sí	O
ọjọ́	B-DATE
ìfẹ̀hónúhàn	I-DATE
ní	O
àwọn	O
agbègbè	O
tí	O
wọ́n	O
ti	O
lẹ́nu	O
.	O
	
Ìkọlù	O
náà	O
wá	O
sí	O
òpin	O
lẹ́yìn-in	O
ìkólọ	O
iléeṣẹ́	O
URF	B-ORG
náà	O
tí	O
àwọn	O
ènìyàn	O
mẹ́fà	O
tí	O
kò	O
sí	O
ẹni	O
tó	O
mọ	O
orúkọ	O
àti	O
ẹgbẹ́	O
olóṣèlú	O
tí	O
wọ́n	O
ń	O
bá	O
ṣe	O
di	O
èrò	O
àtìmọ́lé	O
.	O
	
#SexForGrades	O
:	O
Ètò	O
Alálàyé-afẹ̀ríhàn	O
tú	O
àṣìírí	O
ìwà	O
ìyọlẹ́nu	O
ìbálòpọ̀	O
ní	O
àwọn	O
Ifásitìi	O
Ìwọ-oòrùn	O
Ilẹ̀-Adúláwọ̀	O
	
Ìtìjú	O
mú	O
àwọn	O
tí	O
ìṣẹ̀lẹ̀	O
ṣẹlẹ̀	O
sí	O
máà	O
leè	O
sọ	O
	
Àtẹ̀jáde	O
ìtúmọ̀	O
9	B-DATE
Ọ̀wàrà	I-DATE
2019	I-DATE
20:46	I-DATE
GMT	O
	
Boniface	O
Igbeneghu	O
,	O
ọ̀jọ̀gbọ́n	O
Ifásitìi	O
Èkó	B-LOC
,	O
Nàìjíríà	B-LOC
ti	O
bá	O
ẹni	O
tí	O
ó	O
wọ	O
ìbòjú	O
yìí	O
ṣe	O
erée	O
gélé	O
ní	O
àìmọye	O
ìgbà	O
(	O
Àwòrán	O
láti	O
BBC	B-ORG
#SexForGrades	O
)	O
	
#SexForGrades	O
,	O
ètò	O
alálàyé	O
afẹ̀ríhàn-an	O
BBC	B-ORG
kan	O
tí	O
ó	O
dá	O
fìrìgbagbòó	O
lóríi	O
àṣemáṣe	O
eré	O
ìfẹ́	O
tí	O
àwọn	O
ọ̀jọ̀gbọ́n	O
ifásitì	O
pẹ̀lú	O
àwọn	O
akẹ́kọ̀ọ́bìrin	O
ní	O
Nàìjíríà	B-LOC
àti	O
Ghana	B-LOC
ti	O
ràn	O
bíi	O
pápá	O
inú	O
ọyẹ́	O
ní	O
orí	O
ayélujára	O
tí	O
ó	O
sì	O
ti	O
fa	O
àwọn	O
ìbéèrè	O
ọlọ́kanòjọ̀kan	O
nípa	O
ọ̀nà	O
tí	O
a	O
leè	O
gbà	O
dẹ́kùn	O
àṣemáṣe	O
ọ̀hún	O
láwùjọ	O
:	O
	
Àgbà	O
iṣẹ́	O
ìwádìí	O
náà	O
,	O
tí	O
ó	O
di	O
gbígbé	O
jáde	O
ní	O
ọjọ́	B-DATE
kéje	I-DATE
oṣù	I-DATE
Ọ̀wàrà	I-DATE
2019	I-DATE
,	O
tí	O
akọ̀ròyin	O
Kiki	B-PER
Mordi	I-PER
tí	O
kò	O
parí	O
ẹ̀kọ́ọ	O
rẹ̀	O
látàríi	O
wípé	O
kò	O
fẹ́	O
ṣe	O
àṣemáṣe	O
pẹ̀lú	O
olùkọ́ní	O
ifásitì	O
rẹ̀	O
tí	O
ó	O
ń	O
fi	O
ìdíi	O
rẹ̀	O
rẹmi	O
nínú	O
ìdánwò	O
nítorí	O
wípé	O
kò	O
fún	O
un	O
ṣe	O
ṣe	O
atọ́kùn-un	O
rẹ̀	O
:	O
	
Boniface	O
Igbeneghu	O
,	O
Ifásitì	O
Èkó	B-LOC
,	O
tí	O
a	O
ká	O
ìwà	O
àṣemáṣe	O
pẹ̀lú	O
àwọn	O
akẹ́kọ̀ọ́bìrin	O
nínú	O
ìwádìí	O
abẹ́lẹ̀	O
tí	O
BBC	B-ORG
ṣe	O
.	O
	
Àwòrán	O
láti	O
BBC	B-ORG
#SexForGrades	O
.	O
	
Ìwádìí	O
tí	O
ó	O
pé	O
wákàtí	B-DATE
kan	I-DATE
tú	O
àṣìírí	O
ìwà	O
àṣemáṣe	O
ti	O
eré	O
ìfẹ́	O
fún	O
ojú-àmì	O
ẹ̀kọ́	O
ní	O
ifásitì	O
Ìwọ̀-oòrùn	O
Ilẹ̀	O
Adúláwọ̀	O
méjì	O
:	O
University	O
of	O
Lagos	B-LOC
(	O
UNILAG	O
)	O
ti	O
Nàìjíríà	B-LOC
àti	O
University	O
of	O
Ghana	B-LOC
.	O
	
Boniface	O
Igbeneghu	O
,	O
tí	O
í	O
ṣe	O
kòfẹ́sọ̀	O
ní	O
ẹ̀ka	O
iṣẹ́	O
ọnà	O
ti	O
UNILAG	O
,	O
tí	O
ó	O
sì	O
tún	O
jẹ́	O
àlùfáà	O
Ìjọ	O
Foursquare	B-ORG
Gospel	O
,	O
ní	O
Èkó	B-LOC
,	O
ń	O
bẹ	O
nínú	O
àwọn	O
olùkọ́	O
tí	O
òkété	O
bórù	O
mọ́	O
lọ́wọ́	O
.	O
	
A	B-ORG
rí	O
Igbeneghu	O
nínúu	O
ètòo	O
BBC	B-ORG
náà	O
tí	O
ó	O
kọ	O
ẹnu	O
ìfẹ́	O
sí	O
ọmọdébìnrin	O
tí	O
ó	O
díbọ́n	O
gẹ́gẹ́	O
bí	O
ọmọ	O
ọlọ́jọ́	B-DATE
orí	I-DATE
mẹ́tàdínlógún	O
tí	O
ó	O
ń	O
wà	O
ìgbanisílé	O
ẹ̀kọ́	O
láì	O
fura	O
wípé	O
ajábọ̀	O
ìròyìn	O
tí	O
ó	O
ń	O
ṣe	O
iṣẹ́	O
ìwádìí	O
abẹ́lẹ̀	O
fún	O
BBC	B-ORG
ni	O
ó	O
ń	O
ṣe	O
.	O
	
Igbeneghu	O
sọ	O
báyìí	O
wípé	O
:	O
	
Ṣé	O
o	O
kò	O
mọ̀	O
wípé	O
ọmọbìnrin	O
arẹwà	O
ni	O
ọ́	O
?	B-PER
	
Ǹjẹ́	O
o	O
mọ̀	O
wípé	O
àlùfáà	O
ìjọ	O
ẹlẹ́sìn	O
ìgbàgbọ́	O
ni	O
mo	O
jẹ́	O
,	O
àti	O
pé	O
mo	O
tó	O
ẹni	O
àádọ́ta	O
ọdún	B-DATE
ṣùgbọ́n	I-DATE
bí	O
mo	O
bá	O
fẹ́	O
ọmọ	O
ọdún	B-DATE
mẹ́tàdínlógún	I-DATE
ọ̀rọ̀	O
dídùn	O
àti	O
owó	O
ni	O
ó	O
máa	O
jẹ…	O
	
Níbi	O
ìpàdé	O
kan	O
láàárín	O
àwọn	O
méjèèjì	O
,	O
Igbeneghu	O
ṣẹ́	O
iná	O
pa	O
,	O
ó	O
sì	O
ní	O
kí	O
ọmọdébìnrin	O
náà	O
ó	O
fẹ́nu	O
ko	O
òhun	O
lẹ́nu	O
,	O
tí	O
ó	O
sì	O
tún	O
dì	O
mọ́	O
ọn	O
gbádígbádí	O
nínúu	O
iyàraa	O
iṣẹ́ẹ	O
rẹ̀	O
tí	O
ó	O
wà	O
ní	O
títì	O
pa	O
.	O
	
Ìjọ	O
Ajíhìnrere	O
Foursquare	B-ORG
ti	O
dá	O
Igbeneghu	O
dúró	O
lẹ́nu	O
iṣẹ́	O
ìhìn	O
rere	O
.	O
	
Bákan	O
náà	O
,	O
Ifásitì	O
Èkó	B-LOC
ti	O
lé	O
Igbeneghu	O
kúrò	O
ní	O
ilé	O
ìwé	O
wọ́n	O
sì	O
ti	O
sún	O
ìpèré	O
sí	O
ẹ̀hìn	O
ilẹ̀kùn	O
ilé	O
òṣìṣẹ́	O
tí	O
wọ́n	O
ń	O
pè	O
ní	O
yàrá	O
tútù	O
,	O
tí	O
àwọn	O
ọ̀gá	O
olùkọ́ni	O
ti	O
máa	O
ń	O
ṣe	O
àríyá	O
níbi	O
tí	O
wọ́n	O
ti	O
máa	O
ń	O
gba	O
àwọn	O
ọ̀ṣọ́rọ̀	O
ọmọge	O
lálejò	O
.	O
	
Àwọn	O
ìṣẹ̀lẹ̀	O
ìbànújẹ́	O
ọdún	B-DATE
sẹ́yìn	I-DATE
	
Àkàrà	O
tí	O
ó	O
tú	O
sépo	O
yìí	O
ti	O
fi	O
gọ̀ngọ̀	O
fa	O
kòmóòkùn	O
ọ̀rọ̀	O
jáde	O
lẹ́nu	O
ọ̀gọ̀rọ̀	O
ọmọ	O
orílẹ̀-èdèe	O
Nàìjíríà	B-LOC
ní	O
orí	O
ayélujára	O
pẹ̀lú	O
àmìi	O
#SexForGrades	O
ní	O
oríi	O
Twitter	B-ORG
.	O
	
Púpọ̀	O
nínú	O
àwọn	O
òǹlò	O
tí	O
ó	O
jẹ́	O
abo	O
ní	O
oríi	O
Twitter	B-ORG
fi	O
ẹ̀dùn	O
ọkàn-an	O
wọn	O
hàn	O
nípa	O
ìríríi	O
wọn	O
lóríi	O
ìwà	O
erée	O
gélé	O
ti	O
ìbálòpọ̀	O
:	O
	
Lọlá	O
Ṣónẹ́yìn	O
,	O
alátinúdáa	O
àjọ̀dún	O
ìwé	O
àti	O
òǹkọ̀wé	O
,	O
ṣàlàyé	O
ìtìjú	O
ńlá	O
tí	O
òhún	O
rí	O
nígbà	O
tí	O
amúgbálẹ́gbẹ̀ẹ́	O
ọ̀gá	O
pátápátá	O
ifásitì	O
kan	O
(	O
DVC	O
)	O
fọwọ́	O
kan	O
ibi	O
tí	O
kò	O
yẹ	O
kí	O
ó	O
fọwọ́	O
kàn	O
lára	O
òun	O
:	O
	
Àwọn	O
ọ̀jọ̀gbọ́n	O
oníṣìná	O
ilé	O
ẹ̀kọ́	O
gíga	O
Nàìjíríà	B-LOC
ti	O
ba	O
ti	O
àwọn	O
obìnrin	O
jẹ́	O
.	O
	
Síbẹ̀síbẹ̀	O
,	O
nítorí	O
ìtìjú	O
àwọn	O
tí	O
ó	O
fi	O
ara	O
pa	O
kì	O
í	O
leè	O
sọ̀rọ̀	O
síta	O
èyí	O
kò	O
sì	O
jẹ́	O
kí	O
ó	O
rọrùn	O
láti	O
dá	O
sẹ̀ríà	O
fún	O
àwọn	O
awùwà	O
ìbàjẹ́	O
.	O
	
Ní	O
ọdún-un	B-DATE
2016	I-DATE
,	O
Ìgbìmọ̀	O
Àṣòfin	O
mú	O
àbá	O
ẹ̀wọ̀n	O
ọdún	B-DATE
márùn-ún	I-DATE
wá	O
fún	O
olùkọ́ní	O
tí	O
ilé	O
ẹjọ́	O
bá	O
dá	O
lẹ́bi	O
àṣemáṣe	O
pẹ̀lú	O
akẹ́kọ̀ọ́	O
nínú	O
Ìwé	O
àbádòfin	O
Ìfòpin	O
sí	O
ìwà	O
ìbàjẹ́	O
ìbálòpọ̀	O
ní	O
Ilé	O
Ìwé	O
Gíga	O
.	O
	
Síbẹ̀	O
,	O
Àjọ	O
Olùkọ́ni	O
Ifásitìi	O
Nàìjíríà	B-LOC
kọ	O
ẹ̀yìn	O
sí	O
ìwé	O
àbá	O
yìí	O
,	O
wọ́n	O
ní	O
ó	O
kọ	O
iyán	O
àwọn	O
kéré	O
,	O
nítorí	O
ó	O
kọjú	O
ìjà	O
sí	O
àwọn	O
olùkọ́	O
àti	O
wípé	O
ó	O
yẹpẹrẹ	O
àṣẹ	O
àti	O
agbára	O
ilé	O
ẹ̀kọ́	O
gíga	O
.	O
	
Ìsọtasí	O
ìwé	O
àbá	O
náà	O
pa	O
òfin	O
náà	O
ní	O
àpakú	O
finínfinfín	O
—	O
èyí	O
kò	O
sì	O
jẹ́	O
kí	O
ààrẹ	O
ó	O
bu	O
ọwọ́	O
lù	O
ú	O
.	O
	
Ṣé	O
Eré	O
ìfẹ́	O
fún	O
ojú-àmì	O
Ẹ̀kọ́	O
#SexForGrades	O
ni	O
ìjìjàngbara	O
ilé	O
ìjọsìn	O
#ChurchToo	O
tuntun	O
?	B-PER
	
Nínú	O
oṣù	B-DATE
kéje	I-DATE
ọdún	I-DATE
yìí	I-DATE
,	O
gbajúgbajà	O
ayàwòrán-an	O
nì	O
,	O
Bùsọ́lá	O
Dakolo	O
,	O
fi	O
ẹ̀sùn	O
kan	O
Bíọ́dún	B-PER
Fátóyìnbó	I-PER
,	O
àlùfáà	O
àgbà	O
ìjọ	O
Commonwealth	B-LOC
of	O
Zion	B-PER
Assembly	B-ORG
(COZA)	O
,	O
wípé	O
ó	O
fi	O
ipá	O
bá	O
òun	O
ní	O
àjọṣepọ̀	O
nígbà	O
tí	O
òhún	O
wà	O
ní	O
ọmọ	O
ọdún	B-DATE
mẹ́rindínlógún	I-DATE
.	O
	
Kà	O
síwájú	O
sí	O
i	O
:	O
Àlùfáà	O
tàbí	O
apanijẹ	O
bí	O
ẹ̀pa	O
?	B-PER
	
Ajíhìnrere	O
Oníwàásù	O
nínúu	O
wàhálà	O
ẹ̀sùn	O
ìfipábánilòpọ̀	O
	
Fún	O
ọdún	B-DATE
mẹ́fà	I-DATE
tí	O
ó	O
ré	O
kọjá	O
lọ	O
,	O
Fátóyìnbó	B-PER
aródẹ́dẹ́	O
ti	O
rí	O
ìfẹ̀sùnkàn	O
ìfipábánilòpọ̀	O
ọ̀kan-ò-jọ̀kan	O
.	O
	
Síbẹ̀	O
,	O
ìfọ̀rọ̀wánilẹ́nuwò	O
tí	O
Dakolo	O
ti	O
fẹ̀sùn	O
kan	O
Fátóyìnbó	B-PER
dá	O
awuyewuye	O
sílẹ̀	O
lórí	O
ayélukára	O
bí	O
ajere	O
.	O
	
Fún	O
ọjọ́	B-DATE
díẹ̀	I-DATE
,	O
ilé	O
ìjọsìn	O
náà	O
;	O
#ChurchToo	O
—	O
tí	O
í	O
ṣe	O
àpẹẹrẹ	O
èmi	O
náà	O
ní	O
àgbáyé	O
#MeToo	O
—	O
gba	O
ayélujára	O
kan	O
ní	O
Nàìjíríà	B-LOC
.	O
	
Ẹ̀sùn	O
yìí	O
fò	O
fẹ̀rẹ̀	O
láti	O
orí	O
ayélujára	O
sí	O
ìfẹ̀hónúhàn	O
lóríi	O
òpópónà	O
ní	O
àwọn	O
ìlú	O
ńlá	O
ní	O
Nàìjíríà	B-LOC
bíi	O
Èkó	B-LOC
àti	O
Abuja	B-LOC
.	O
	
Ìpèsí	O
àkíyèsí	O
ilé	O
ìjọsìn	O
náà	O
#ChurchToo	O
movement	O
rọ	O
ìjọba	O
láti	O
da	O
ọ̀ràn-an	O
ìjìyà	O
obìnrin	O
àti	O
ọmọdébìnrin	O
dúrò	O
.	O
	
Ilé	O
ìjọsìn	O
náà	O
#ChurchToo	O
ṣípayá	O
ìdákẹ́	O
rọ́rọ́	O
àmọ́	O
“	O
ìbàjẹ́	O
àṣà	O
ìfipábánilòpọ̀	O
tí	O
ó	O
ń	O
gbèrú	O
,	O
pàápàá	O
jù	O
lọ	O
ní	O
agbo	O
ìjọsìn	O
ní	O
Nàìjíríà	B-LOC
.	O
	
Ó	O
fún	O
àwọn	O
obìnrin	O
ní	O
àǹfààní	O
láti	O
wí	O
ti	O
ẹnu	O
wọn	O
.	O
	
Bíi	O
ti	O
#ChurchToo	O
,	O
ìké	O
tantan	O
eré	O
ìfẹ́	O
fún	O
ojú-àmì	O
ẹ̀kọ́	O
#SexForGrades	O
ti	O
fẹ	O
ìdí	O
ìlòkulò	O
agbára	O
tí	O
ó	O
bí	O
ìwà	O
àṣemáṣe	O
ti	O
ìbánilájọ̀ṣepọ̀	O
tí	O
àwọn	O
obìnrin	O
kò	O
fi	O
tọkàntọkàn	O
fẹ́	O
síta	O
gbangba	O
.	O
	
Ǹjẹ́	O
àmì	O
orí	O
ayélujára	O
yìí	O
yóò	O
ṣe	O
amọ̀nàa	O
ìgbèjà	O
ẹ̀tọ́	O
tí	O
kì	O
í	O
ṣe	O
ti	O
orí	O
ayélujára	O
tí	O
yóò	O
béèrè	O
fún	O
àtúnṣe	O
tí	O
yóò	O
sọ	O
ilé	O
ẹ̀kọ́	O
gíga	O
ifásitì	O
di	O
ibi	O
ààbò	O
fún	O
àwọn	O
obìnrin	O
bí	O
?	B-PER
	
Ìgbà	O
àti	O
àkókò	O
nìkan	O
ni	O
yóò	O
sọ	O
.	O
	
Ilé	O
ẹ̀kọ́	O
ìmọ̀	O
orin	O
kíkọ	O
kan	O
ṣoṣo	O
ní	O
Zanzibar	B-PER
ti	O
fẹ́	O
di	O
títì	O
pa	O
	
Ilé-ẹ̀kọ́	O
Orin	O
Kíkọ	O
Àwọn	O
Orílẹ̀-èdè	O
Dhow	O
f'orin	O
ṣègbélárugẹ	O
àṣàa	O
Swahili	O
	
Àtẹ̀jáde	O
ìtúmọ̀	O
4	B-DATE
Ọ̀wàrà	I-DATE
2019	I-DATE
18:28	I-DATE
GMT	O
	
Àwọn	O
akẹ́kọ̀ọ́	O
láti	O
Iléèwé	O
Orin	O
kíkọ	O
Àwọn	O
Orílẹ̀-èdèe	O
Dhow	O
(	O
DCMA	O
)	O
ń	O
fi	O
qanun	O
,	O
fèrè	O
,	O
ìlù	O
àti	O
dùrù	O
ní	O
Ilé	O
Àwọn	O
Ẹ̀ṣọ́	O
Aṣọ́bodè	O
Àtijọ́	O
,	O
ní	O
Stone	B-LOC
Town	I-LOC
,	O
Zanzibar	B-PER
,	O
2019	B-DATE
.	O
	
DCMA	O
ló	O
ni	O
àwòrán	O
.	O
	
Ẹgbẹẹgbẹ̀rún	O
àlejò	O
tí	O
ó	O
ń	O
rọ́	O
wìtìwìtì	O
wá	O
sí	O
ìlú	O
Stone	B-LOC
Town	I-LOC
,	O
Zanzibar	B-PER
tí	O
ó	O
kún	O
fún	O
ìṣẹ̀lẹ̀	O
àtẹ̀yìnwá	O
,	O
ti	O
tẹ̀lé	O
ìró	O
orin	O
Iléèwé	O
Orin	O
kíkọ	O
Àwọn	O
Orílẹ̀-èdèe	O
Dhow	O
(DCMA)	O
,	O
ilé	O
ẹ̀kọ́	O
orin	O
kíkọ	O
tí	O
ó	O
ń	O
ṣe	O
ìgbélárugẹ	O
àti	O
ìpamọ́	O
àwọn	O
àṣà	O
orin	O
erékùṣù	O
náà	O
tí	O
ó	O
sún	O
mọ́	O
Swahili	O
ní	O
ẹ̀báa	O
Omi	B-PER
Òkun	O
India	B-LOC
.	O
	
Láti	O
ọdún-un	B-DATE
2002	I-DATE
,	O
ilé	O
ẹ̀kọ́	O
náà	O
ti	O
ṣe	O
ìgbélárugẹ	O
àti	O
ìpamọ́	O
àkójọpọ̀	O
orin	O
Lárúbáwá	O
,	O
India	B-LOC
àti	O
Ilẹ̀	O
Adúláwọ̀	O
tí	O
kò	O
lẹ́lẹ́gbẹ́	O
.	O
	
Lẹ́yìn-in	O
ọdún	B-DATE
kẹtàdínlógún	I-DATE
,	O
iléèwé	O
náà	O
kò	O
rí	O
owó	O
